neighborhood,price,bedrooms,longitude,subregion,latitude,sqft,blockfips,countyfips,countyname,price_sqft,price_sqft_cat
santa clara,1912,1,-121.949615,South Bay,37.393022,719,6.0855E+13,6085,Santa Clara,2.659248957,3
petaluma,2375,4,-122.609696,North Bay,38.241016,1350,6.09715E+13,6097,Sonoma,1.759259259,1
willow glen / cambrian,2500,2,-121.869621,South Bay,37.296179,1144,6.0855E+13,6085,Santa Clara,2.185314685,2
san jose south,2210,2,-121.830117,South Bay,37.257219,900,6.08551E+13,6085,Santa Clara,2.455555556,2
petaluma,2995,5,-122.654596,North Bay,38.241138,2546,6.09715E+13,6097,Sonoma,1.176355067,0
san jose north,1350,1,-121.869165,South Bay,37.35234,800,6.0855E+13,6085,Santa Clara,1.6875,1
campbell,1680,1,-121.956186,South Bay,37.280022,790,6.08551E+13,6085,Santa Clara,2.126582278,1
sunnyvale,2602,2,-122.014171,South Bay,37.370241,925,6.08551E+13,6085,Santa Clara,2.812972973,3
los altos,2345,1,-122.117672,Peninsula,37.38148,1000,6.08551E+13,6085,Santa Clara,2.345,2
san mateo,2832,1,-122.342481,Peninsula,37.566436,809,6.08161E+13,6081,San Mateo,3.500618047,4
fremont / union city / newark,2350,3,-122.0224,East Bay,37.572746,1579,6.00144E+13,6001,Alameda,1.488283724,0
"San Mateo, ca",2280,1,-122.281372,Peninsula,37.555941,350,6.08161E+13,6081,San Mateo,6.514285714,4
foster city,2785,2,-122.275901,Peninsula,37.534845,1043,6.08161E+13,6081,San Mateo,2.670182167,3
walnut creek,2295,2,-122.043214,East Bay,37.927815,1308,6.01334E+13,6013,Contra Costa,1.754587156,1
foster city,2761,1,-122.26809,Peninsula,37.56664,850,6.08161E+13,6081,San Mateo,3.248235294,4
cupertino,3219,3,-122.02357,South Bay,37.322542,1212,6.08551E+13,6085,Santa Clara,2.655940594,3
redwood city,4950,3,-122.220626,Peninsula,37.449855,1600,6.08161E+13,6081,San Mateo,3.09375,3
downtown / civic / van ness,2657,,-122.417182,SF,37.776287,583,6.07502E+13,6075,San Francisco,4.557461407,4
lower pac hts,2721,,-122.435675,SF,37.785046,567,6.07502E+13,6075,San Francisco,4.798941799,4
fairfield / vacaville,1535,2,-121.964675,East Bay,38.354469,1136,6.09525E+13,6095,Solano,1.351232394,0
fairfield / vacaville,1499,2,-122.012357,East Bay,38.275976,1063,6.09525E+13,6095,Solano,1.410159925,0
san jose east,2750,4,-121.785562,South Bay,37.308041,1803,6.0855E+13,6085,Santa Clara,1.525235718,0
san carlos,2255,1,-122.26052,Peninsula,37.50716,830,6.08161E+13,6081,San Mateo,2.71686747,3
pittsburg / antioch,1250,2,-121.951471,East Bay,38.025577,950,6.01331E+13,6013,Contra Costa,1.315789474,0
palo alto,2950,1,-122.139774,Peninsula,37.427239,840,6.08551E+13,6085,Santa Clara,3.511904762,4
haight ashbury,3500,2,-122.445535,SF,37.771142,960,6.07502E+13,6075,San Francisco,3.645833333,4
sunnyvale,3400,3,-122.017328,South Bay,37.358741,2256,6.08551E+13,6085,Santa Clara,1.507092199,0
south san francisco,3600,4,-122.441411,Peninsula,37.636386,1900,6.0816E+13,6081,San Mateo,1.894736842,1
foster city,2108,1,-122.256525,Peninsula,37.554546,712,6.08161E+13,6081,San Mateo,2.960674157,3
mountain view,2029,1,-122.074756,Peninsula,37.402029,682,6.08551E+13,6085,Santa Clara,2.975073314,3
cupertino,3006,2,-122.015705,South Bay,37.334132,1197,6.08551E+13,6085,Santa Clara,2.511278195,2
rohnert pk / cotati,1350,2,-122.705444,North Bay,38.321352,1100,6.09715E+13,6097,Sonoma,1.227272727,0
laurel hts / presidio,4295,2,-122.446017,SF,37.789201,1200,6.07501E+13,6075,San Francisco,3.579166667,4
redwood city,3250,3,-122.233377,Peninsula,37.474637,1500,6.08161E+13,6081,San Mateo,2.166666667,1
fairfield / vacaville,1064,2,-121.833658,East Bay,38.432211,855,6.09525E+13,6095,Solano,1.244444444,0
san carlos,4900,4,-122.272178,Peninsula,37.505737,2300,6.08161E+13,6081,San Mateo,2.130434783,1
san mateo,3244,2,-122.285185,Peninsula,37.544254,1029,6.08161E+13,6081,San Mateo,3.152575316,3
san jose west,3495,3,-121.937463,South Bay,37.301984,1178,6.0855E+13,6085,Santa Clara,2.966893039,3
san jose south,1988,1,-121.89496,South Bay,37.33939,778,6.0855E+13,6085,Santa Clara,2.555269923,2
pittsburg / antioch,2200,5,-121.794851,East Bay,37.97727,3000,6.01336E+13,6013,Contra Costa,0.733333333,0
san mateo,2600,2,-122.325998,Peninsula,37.560763,955,6.08161E+13,6081,San Mateo,2.722513089,3
SOMA / south beach,3200,1,-122.403878,SF,37.770063,916,6.07506E+13,6075,San Francisco,3.493449782,4
concord / pleasant hill / martinez,850,1,-122.042935,East Bay,37.969982,600,6.01334E+13,6013,Contra Costa,1.416666667,0
fairfield / vacaville,1700,3,-121.940722,East Bay,38.341315,1500,6.09525E+13,6095,Solano,1.133333333,0
milpitas,2265,2,-121.8899,South Bay,37.408072,1082,6.0855E+13,6085,Santa Clara,2.093345656,1
healdsburg / windsor,2150,2,-122.8073,North Bay,38.5443,1742,6.09715E+13,6097,Sonoma,1.234213548,0
sausalito,2321,2,-122.514985,North Bay,37.875826,888,6.04113E+13,6041,Marin,2.613738739,3
napa county,1400,3,-122.189785,North Bay,38.508707,1200,6.0552E+13,6055,Napa,1.166666667,0
san bruno,2239,1,-122.429,Peninsula,37.6247,622,6.0816E+13,6081,San Mateo,3.599678457,4
mill valley,1595,1,-122.512195,North Bay,37.90107,900,6.04113E+13,6041,Marin,1.772222222,1
petaluma,1635,2,-122.6155,North Bay,38.2507,1028,6.09715E+13,6097,Sonoma,1.590466926,0
campbell,2125,2,-122.29665,South Bay,37.509096,1026,6.08161E+13,6081,San Mateo,2.071150097,1
petaluma,1695,2,-122.6155,North Bay,38.2507,1028,6.09715E+13,6097,Sonoma,1.648832685,1
pacific heights,3200,1,-122.424172,SF,37.79476,1000,6.07501E+13,6075,San Francisco,3.2,3
redwood city,8000,4,-122.264478,Peninsula,37.462938,3000,6.08161E+13,6081,San Mateo,2.666666667,3
san jose west,1945,2,-121.917967,South Bay,37.310642,850,6.0855E+13,6085,Santa Clara,2.288235294,2
san rafael,2095,2,-122.541488,North Bay,38.011222,1014,6.04111E+13,6041,Marin,2.066074951,1
rohnert pk / cotati,1199,1,-122.708788,North Bay,38.341505,610,6.09715E+13,6097,Sonoma,1.96557377,1
russian river,800,1,-123.012321,North Bay,38.491237,425,6.09715E+13,6097,Sonoma,1.882352941,1
daly city,2575,1,-122.463383,Peninsula,37.682733,1118,6.0816E+13,6081,San Mateo,2.303220036,2
west portal / forest hill,4750,3,-122.478351,SF,37.732588,2300,6.07503E+13,6075,San Francisco,2.065217391,1
santa rosa,1550,3,-122.709397,North Bay,38.454199,1224,6.09715E+13,6097,Sonoma,1.266339869,0
pittsburg / antioch,1975,4,-121.753714,East Bay,37.970276,2169,6.0133E+13,6013,Contra Costa,0.910557861,0
SOMA / south beach,3249,,-122.389948,SF,37.773954,549,6.07506E+13,6075,San Francisco,5.918032787,4
SOMA / south beach,7250,2,-122.395813,SF,37.791153,1479,6.07506E+13,6075,San Francisco,4.901960784,4
willow glen / cambrian,2145,2,-121.842027,South Bay,37.275163,1440,6.08551E+13,6085,Santa Clara,1.489583333,0
sunnyvale,2186,1,-121.99487,South Bay,37.349179,743,6.08551E+13,6085,Santa Clara,2.942126514,3
vallejo / benicia,1550,2,-122.235987,East Bay,38.099763,1550,6.09525E+13,6095,Solano,1,0
redwood city,2300,2,-122.190476,Peninsula,37.478337,900,6.08161E+13,6081,San Mateo,2.555555556,2
lower pac hts,2721,,-122.435696,SF,37.784961,567,6.07502E+13,6075,San Francisco,4.798941799,4
pittsburg / antioch,2000,5,-121.8089,East Bay,37.9939,3400,6.01331E+13,6013,Contra Costa,0.588235294,0
menlo park,3550,3,-122.200226,Peninsula,37.469938,1200,6.08161E+13,6081,San Mateo,2.958333333,3
san rafael,1847,1,-122.533404,North Bay,38.022351,650,6.04111E+13,6041,Marin,2.841538462,3
daly city,3800,4,-122.420981,Peninsula,37.653605,2400,6.0816E+13,6081,San Mateo,1.583333333,0
mountain view,1795,1,-122.065922,Peninsula,37.39859,837,6.08551E+13,6085,Santa Clara,2.144563919,1
castro / upper market,3300,1,-122.434666,SF,37.767373,1000,6.07502E+13,6075,San Francisco,3.3,4
SOMA / south beach,2990,1,-122.39305,SF,37.777138,778,6.07506E+13,6075,San Francisco,3.843187661,4
pacifica,3255,2,-122.492129,Peninsula,37.651397,1500,6.0816E+13,6081,San Mateo,2.17,2
santa rosa,1300,2,-122.752177,North Bay,38.449606,900,6.09715E+13,6097,Sonoma,1.444444444,0
los altos,2345,1,-122.116814,Peninsula,37.379843,1000,6.08551E+13,6085,Santa Clara,2.345,2
san jose south,1895,2,-121.803773,South Bay,37.234147,980,6.08551E+13,6085,Santa Clara,1.933673469,1
fairfield / vacaville,1499,2,-122.012357,East Bay,38.275976,1063,6.09525E+13,6095,Solano,1.410159925,0
santa rosa,1850,2,-122.590923,North Bay,38.430321,1541,6.09715E+13,6097,Sonoma,1.200519143,0
petaluma,2600,4,-122.594956,North Bay,38.241388,2116,6.09715E+13,6097,Sonoma,1.228733459,0
foster city,2395,1,-122.265678,Peninsula,37.569135,712,6.08161E+13,6081,San Mateo,3.363764045,4
palo alto,1645,,-122.134495,Peninsula,37.417277,480,6.08551E+13,6085,Santa Clara,3.427083333,4
lower pac hts,3700,1,-122.424687,SF,37.785335,950,6.07502E+13,6075,San Francisco,3.894736842,4
mountain view,1725,1,-122.080713,Peninsula,37.379525,650,6.08551E+13,6085,Santa Clara,2.653846154,3
menlo park,1975,1,-122.173591,Peninsula,37.452035,600,6.08161E+13,6081,San Mateo,3.291666667,4
russian hill,9950,4,-122.417727,SF,37.798408,1894,6.07501E+13,6075,San Francisco,5.25343189,4
santa clara,2050,2,-121.987906,South Bay,37.34003,856,6.08551E+13,6085,Santa Clara,2.394859813,2
sebastopol,2150,3,-122.8219,North Bay,38.398181,1300,6.09715E+13,6097,Sonoma,1.653846154,1
vallejo / benicia,1620,3,-122.238884,East Bay,38.148486,1320,6.09525E+13,6095,Solano,1.227272727,0
palo alto,7000,4,-122.137074,Peninsula,37.446538,1802,6.08551E+13,6085,Santa Clara,3.884572697,4
berkeley,6000,2,-122.265365,East Bay,37.876598,900,6.00142E+13,6001,Alameda,6.666666667,4
walnut creek,1767,1,-122.066444,East Bay,37.901224,726,6.01334E+13,6013,Contra Costa,2.433884298,2
gilroy,1685,2,-121.576124,South Bay,37.007872,1150,6.08551E+13,6085,Santa Clara,1.465217391,0
san mateo,2600,2,-122.325998,Peninsula,37.560763,955,6.08161E+13,6081,San Mateo,2.722513089,3
redwood shores,2500,2,-122.2486,Peninsula,37.5331,884,6.08161E+13,6081,San Mateo,2.828054299,3
healdsburg / windsor,2000,3,-122.8073,North Bay,38.5443,1993,6.09715E+13,6097,Sonoma,1.003512293,0
mountain view,1795,1,-122.093318,Peninsula,37.406096,650,6.08551E+13,6085,Santa Clara,2.761538462,3
san jose south,1590,2,-121.7562,South Bay,37.2974,801,6.0855E+13,6085,Santa Clara,1.985018727,1
foster city,2811,2,-122.268112,Peninsula,37.566691,1100,6.08161E+13,6081,San Mateo,2.555454545,2
mountain view,1700,1,-122.095961,Peninsula,37.397307,635,6.08551E+13,6085,Santa Clara,2.677165354,3
fremont / union city / newark,1205,1,-121.987783,East Bay,37.554951,547,6.00144E+13,6001,Alameda,2.202925046,2
santa rosa,3300,5,-122.904568,North Bay,38.374669,1700,6.09715E+13,6097,Sonoma,1.941176471,1
hayward / castro valley,1475,1,-122.111963,East Bay,37.634484,701,6.00144E+13,6001,Alameda,2.104136947,1
san jose north,2079,1,-121.920261,South Bay,37.39771,739,6.08551E+13,6085,Santa Clara,2.813261164,3
pacifica,2489,2,-122.478739,Peninsula,37.658761,955,6.0816E+13,6081,San Mateo,2.606282723,2
san jose south,2800,3,-121.761979,South Bay,37.232551,1827,6.08551E+13,6085,Santa Clara,1.53256705,0
rohnert pk / cotati,1495,2,-122.699298,North Bay,38.326214,1000,6.09715E+13,6097,Sonoma,1.495,0
foster city,2650,2,-122.261543,Peninsula,37.555698,1020,6.08161E+13,6081,San Mateo,2.598039216,2
kentfield / ross,1900,2,-122.551106,North Bay,37.952769,850,6.04112E+13,6041,Marin,2.235294118,2
richmond / point / annex,1500,3,-122.25,East Bay,37.5,980,6.08161E+13,6081,San Mateo,1.530612245,0
"hercules, pinole, san pablo, el sob",1500,2,-122.27584,East Bay,38.011151,778,6.01336E+13,6013,Contra Costa,1.928020566,1
sunnyvale,2900,4,-122.0177,South Bay,37.3886,1560,6.08551E+13,6085,Santa Clara,1.858974359,1
albany / el cerrito,1599,1,-122.29828,East Bay,37.897225,700,6.00142E+13,6001,Alameda,2.284285714,2
burlingame,1915,,-122.359378,Peninsula,37.58647,546,6.08161E+13,6081,San Mateo,3.507326007,4
palo alto,2295,1,-122.143142,Peninsula,37.425423,720,6.08551E+13,6085,Santa Clara,3.1875,3
palo alto,2300,1,-122.147713,Peninsula,37.43367,600,6.08551E+13,6085,Santa Clara,3.833333333,4
tiburon / belvedere,5900,3,-122.471584,North Bay,37.882826,2330,6.04112E+13,6041,Marin,2.532188841,2
burlingame,2010,1,-122.359378,Peninsula,37.58647,598,6.08161E+13,6081,San Mateo,3.361204013,4
pacific heights,8000,2,-122.436567,SF,37.794058,3000,6.07501E+13,6075,San Francisco,2.666666667,3
mill valley,2350,2,-122.543687,North Bay,37.908625,1000,6.04113E+13,6041,Marin,2.35,2
mountain view,2675,,-122.112285,Peninsula,37.403349,547,6.08551E+13,6085,Santa Clara,4.890310786,4
healdsburg / windsor,1750,3,-123.027878,North Bay,38.813554,1300,6.09715E+13,6097,Sonoma,1.346153846,0
redwood city,1690,,-122.240787,Peninsula,37.487951,500,6.08161E+13,6081,San Mateo,3.38,4
oakland rockridge / claremont,5995,5,-122.241162,East Bay,37.847071,4000,6.0014E+13,6001,Alameda,1.49875,0
redwood city,3395,3,-122.229102,Peninsula,37.467688,1850,6.08161E+13,6081,San Mateo,1.835135135,1
fremont / union city / newark,3190,3,-121.918569,East Bay,37.525585,1750,6.00144E+13,6001,Alameda,1.822857143,1
novato,1250,1,-122.603893,North Bay,38.114719,580,6.0411E+13,6041,Marin,2.155172414,1
financial district,3290,,-122.392314,SF,37.791474,437,6.07506E+13,6075,San Francisco,7.528604119,4
santa clara,2325,3,-121.987906,South Bay,37.34003,1089,6.08551E+13,6085,Santa Clara,2.134986226,1
sunnyvale,2287,2,-122.055359,South Bay,37.379433,1000,6.08551E+13,6085,Santa Clara,2.287,2
milpitas,1800,2,-121.884187,South Bay,37.427487,842,6.0855E+13,6085,Santa Clara,2.137767221,1
san leandro,2150,3,-122.145076,East Bay,37.720229,1200,6.00143E+13,6001,Alameda,1.791666667,1
cupertino,3450,3,-122.028564,South Bay,37.319711,1551,6.08551E+13,6085,Santa Clara,2.224371373,2
oakland north / temescal,3900,2,-122.267296,East Bay,37.840987,2200,6.0014E+13,6001,Alameda,1.772727273,1
san jose west,1975,2,-121.966268,South Bay,37.318882,870,6.08551E+13,6085,Santa Clara,2.270114943,2
napa county,2300,1,-122.481079,North Bay,38.549239,1200,6.0552E+13,6055,Napa,1.916666667,1
santa rosa,2250,3,-122.688597,North Bay,38.437811,2100,6.09715E+13,6097,Sonoma,1.071428571,0
alameda,1280,1,-122.27728,East Bay,37.771628,750,6.00143E+13,6001,Alameda,1.706666667,1
foster city,3218,2,-122.259969,Peninsula,37.552403,870,6.08161E+13,6081,San Mateo,3.698850575,4
alameda,2926,2,-122.271223,East Bay,37.763726,1120,6.00143E+13,6001,Alameda,2.6125,3
napa county,2650,4,-122.292767,North Bay,38.276302,2067,6.0552E+13,6055,Napa,1.282051282,0
fairfax,2700,2,-122.5937,North Bay,37.9883,1000,6.04111E+13,6041,Marin,2.7,3
vallejo / benicia,950,1,-122.253076,East Bay,38.110136,1050,6.09525E+13,6095,Solano,0.904761905,0
SOMA / south beach,4395,1,-122.393572,SF,37.786573,775,6.07506E+13,6075,San Francisco,5.670967742,4
san mateo,2600,2,-122.325998,Peninsula,37.560763,955,6.08161E+13,6081,San Mateo,2.722513089,3
san anselmo,3700,3,-122.57659,North Bay,37.992223,1400,6.04112E+13,6041,Marin,2.642857143,3
willow glen / cambrian,1325,1,-121.87901,South Bay,37.289278,450,6.0855E+13,6085,Santa Clara,2.944444444,3
San Jose - Santana Row,2930,1,-121.947684,South Bay,37.320209,1100,6.08551E+13,6085,Santa Clara,2.663636364,3
sausalito,2050,1,-122.514985,North Bay,37.875826,612,6.04113E+13,6041,Marin,3.349673203,4
redwood city,995,,-122.232664,Peninsula,37.48247,275,6.08161E+13,6081,San Mateo,3.618181818,4
san mateo,2950,2,-122.328997,Peninsula,37.56072,1187,6.08161E+13,6081,San Mateo,2.48525695,2
pacifica,1949,1,-122.478739,Peninsula,37.658761,756,6.0816E+13,6081,San Mateo,2.578042328,2
bernal heights,3450,3,-122.415133,SF,37.734529,1750,6.07503E+13,6075,San Francisco,1.971428571,1
south san francisco,2000,2,-122.409779,Peninsula,37.657082,1000,6.0816E+13,6081,San Mateo,2,1
vallejo / benicia,985,1,-122.244863,East Bay,38.129373,780,6.09525E+13,6095,Solano,1.262820513,0
san jose south,2020,2,-121.92843,South Bay,37.30076,890,6.0855E+13,6085,Santa Clara,2.269662921,2
san jose north,2675,2,-121.942672,South Bay,37.410227,1053,6.08551E+13,6085,Santa Clara,2.540360874,2
lower pac hts,3807,2,-122.435653,SF,37.785029,925,6.07502E+13,6075,San Francisco,4.115675676,4
santa clara,1695,1,-121.963269,South Bay,37.361541,700,6.08551E+13,6085,Santa Clara,2.421428571,2
redwood city,2000,2,-122.227935,Peninsula,37.46859,875,6.08161E+13,6081,San Mateo,2.285714286,2
belmont,2108,1,-122.278227,Peninsula,37.519125,600,6.08161E+13,6081,San Mateo,3.513333333,4
petaluma,1475,1,-122.617796,North Bay,38.249516,626,6.09715E+13,6097,Sonoma,2.356230032,2
san rafael,3250,3,-122.55794,North Bay,37.999967,1754,6.04111E+13,6041,Marin,1.85290764,1
sunnyvale,2750,3,-122.014471,South Bay,37.358741,1400,6.08551E+13,6085,Santa Clara,1.964285714,1
vallejo / benicia,1450,4,-122.268203,East Bay,38.121978,1702,6.09525E+13,6095,Solano,0.851938895,0
willow glen / cambrian,2300,2,-121.860548,South Bay,37.280742,1067,6.0855E+13,6085,Santa Clara,2.155576382,1
inner sunset / UCSF,2870,1,-122.470727,SF,37.765739,644,6.07503E+13,6075,San Francisco,4.456521739,4
santa rosa,1704,1,-122.6393,North Bay,38.4592,797,6.09715E+13,6097,Sonoma,2.138017566,1
san jose west,1775,2,-121.9356,South Bay,37.3163,1000,6.0855E+13,6085,Santa Clara,1.775,1
campbell,2520,2,-121.935767,South Bay,37.281655,850,6.0855E+13,6085,Santa Clara,2.964705882,3
foster city,2600,2,-122.261543,Peninsula,37.555698,1020,6.08161E+13,6081,San Mateo,2.549019608,2
mountain view,1700,1,-122.083167,South Bay,37.383837,600,6.08551E+13,6085,Santa Clara,2.833333333,3
campbell,1967,2,-121.956186,South Bay,37.280022,980,6.08551E+13,6085,Santa Clara,2.007142857,1
san leandro,1250,1,-122.133522,East Bay,37.710452,750,6.00143E+13,6001,Alameda,1.666666667,1
san jose downtown,2095,1,-121.887164,South Bay,37.331388,607,6.0855E+13,6085,Santa Clara,3.451400329,4
dublin / pleasanton / livermore,2147,2,-121.876615,East Bay,37.67653,1073,6.00145E+13,6001,Alameda,2.000931966,1
healdsburg / windsor,825,1,-123.014232,North Bay,38.803426,600,6.09715E+13,6097,Sonoma,1.375,0
sausalito,3000,2,-122.50464,North Bay,37.862352,1150,6.04113E+13,6041,Marin,2.608695652,3
concord / pleasant hill / martinez,2395,4,-122.078362,East Bay,37.964179,1500,6.01332E+13,6013,Contra Costa,1.596666667,0
fairfield / vacaville,1800,3,-122.036953,East Bay,38.278537,2164,6.09525E+13,6095,Solano,0.831792976,0
brentwood / oakley,2450,5,-121.7036,East Bay,37.994,2846,6.0133E+13,6013,Contra Costa,0.860857344,0
vallejo / benicia,1090,2,-122.270751,East Bay,38.117424,850,6.09525E+13,6095,Solano,1.282352941,0
menlo park,2695,2,-122.163725,Peninsula,37.462541,900,6.08161E+13,6081,San Mateo,2.994444444,3
pittsburg / antioch,1595,3,-121.925626,East Bay,38.028622,1435,6.01331E+13,6013,Contra Costa,1.111498258,0
santa rosa,1325,1,-122.712741,North Bay,38.409289,559,6.09715E+13,6097,Sonoma,2.370304114,2
menlo park,3500,2,-122.199416,Peninsula,37.426643,1200,6.08161E+13,6081,San Mateo,2.916666667,3
fremont / union city / newark,3400,4,-121.937259,East Bay,37.52032,2648,6.00144E+13,6001,Alameda,1.283987915,0
fremont / union city / newark,1500,2,-122.018864,East Bay,37.554292,1000,6.00144E+13,6001,Alameda,1.5,0
petaluma,3000,5,-122.65915,North Bay,38.222582,2589,6.09715E+13,6097,Sonoma,1.158748552,0
foster city,2228,1,-122.264334,Peninsula,37.554738,725,6.08161E+13,6081,San Mateo,3.073103448,3
palo alto,4300,3,-122.105409,Peninsula,37.418184,1250,6.08551E+13,6085,Santa Clara,3.44,4
tiburon / belvedere,2895,2,-122.4637,North Bay,37.8843,1100,6.04112E+13,6041,Marin,2.631818182,3
santa rosa,1575,3,-122.683698,North Bay,38.444132,950,6.09715E+13,6097,Sonoma,1.657894737,1
foster city,2875,2,-122.287542,Peninsula,37.563188,1040,6.08161E+13,6081,San Mateo,2.764423077,3
san jose south,1719,1,-121.765542,South Bay,37.23387,720,6.08551E+13,6085,Santa Clara,2.3875,2
foster city,2183,1,-122.278227,Peninsula,37.519125,600,6.08161E+13,6081,San Mateo,3.638333333,4
sausalito,5500,3,-122.4946,North Bay,37.8601,3400,6.04113E+13,6041,Marin,1.617647059,0
hayward / castro valley,2200,3,-122.057173,East Bay,37.667231,1500,6.00144E+13,6001,Alameda,1.466666667,0
pittsburg / antioch,910,1,-121.904173,East Bay,38.022052,651,6.01331E+13,6013,Contra Costa,1.397849462,0
tiburon / belvedere,17000,6,-122.469483,North Bay,37.873526,6000,6.04112E+13,6041,Marin,2.833333333,3
hayward / castro valley,1923,1,-122.094752,East Bay,37.659316,985,6.00144E+13,6001,Alameda,1.952284264,1
san jose north,1925,2,-121.872466,South Bay,37.391139,976,6.0855E+13,6085,Santa Clara,1.972336066,1
sausalito,3989,2,-122.483702,North Bay,37.851959,1400,6.04113E+13,6041,Marin,2.849285714,3
daly city,3250,2,-122.462405,Peninsula,37.70353,1183,6.0816E+13,6081,San Mateo,2.747252747,3
rohnert pk / cotati,1200,1,-122.689398,North Bay,38.339614,700,6.09715E+13,6097,Sonoma,1.714285714,1
napa county,2750,4,-122.265383,North Bay,38.288614,2100,6.0552E+13,6055,Napa,1.30952381,0
foster city,2380,1,-122.262747,Peninsula,37.535713,712,6.08161E+13,6081,San Mateo,3.342696629,4
lower nob hill,2150,,-122.411406,SF,37.787301,370,6.07501E+13,6075,San Francisco,5.810810811,4
sunnyvale,2069,1,-122.014171,South Bay,37.370241,700,6.08551E+13,6085,Santa Clara,2.955714286,3
north beach / telegraph hill,3595,1,-122.412047,SF,37.806301,1050,6.07501E+13,6075,San Francisco,3.423809524,4
sonoma,1595,2,-122.453452,North Bay,38.29637,1000,6.09715E+13,6097,Sonoma,1.595,0
danville / san ramon,1801,1,-121.983673,East Bay,37.77832,727,6.01335E+13,6013,Contra Costa,2.477303989,2
san rafael,1847,1,-122.532331,North Bay,38.021582,650,6.04111E+13,6041,Marin,2.841538462,3
san mateo,1750,1,-122.332163,Peninsula,37.572321,570,6.08161E+13,6081,San Mateo,3.070175439,3
alamo square / nopa,1600,1,-122.438177,SF,37.776856,400,6.07502E+13,6075,San Francisco,4,4
cupertino,3193,3,-122.02357,South Bay,37.322542,1212,6.08551E+13,6085,Santa Clara,2.634488449,3
ingleside / SFSU / CCSF,3500,4,-122.460787,SF,37.726066,1850,6.07503E+13,6075,San Francisco,1.891891892,1
menlo park,1950,1,-122.165011,Peninsula,37.46307,650,6.08161E+13,6081,San Mateo,3,3
lower nob hill,2290,,-122.413799,SF,37.786649,500,6.07501E+13,6075,San Francisco,4.58,4
santa clara,2595,2,-121.957318,South Bay,37.401787,1058,6.08551E+13,6085,Santa Clara,2.452741021,2
burlingame,2199,2,-122.36608,Peninsula,37.5841,850,6.08161E+13,6081,San Mateo,2.587058824,2
laurel hts / presidio,3335,3,-122.478299,SF,37.791446,955,6.07506E+13,6075,San Francisco,3.492146597,4
san leandro,1900,3,-122.148205,East Bay,37.684517,1082,6.00143E+13,6001,Alameda,1.756007394,1
san jose south,1680,1,-121.830117,South Bay,37.257219,701,6.08551E+13,6085,Santa Clara,2.39657632,2
san jose north,2493,2,-121.942672,South Bay,37.410227,1082,6.08551E+13,6085,Santa Clara,2.304066543,2
san mateo,1937,,-122.300388,Peninsula,37.535145,567,6.08161E+13,6081,San Mateo,3.41622575,4
south san francisco,2600,3,-122.440428,Peninsula,37.664415,1090,6.0816E+13,6081,San Mateo,2.385321101,2
SOMA / south beach,6800,2,-122.4169,SF,37.771724,3000,6.07502E+13,6075,San Francisco,2.266666667,2
napa county,2250,4,-122.258484,North Bay,38.162142,2000,6.0552E+13,6055,Napa,1.125,0
milpitas,1995,3,-121.910956,South Bay,37.436908,1000,6.0855E+13,6085,Santa Clara,1.995,1
tiburon / belvedere,2895,2,-122.461283,North Bay,37.882926,1100,6.04112E+13,6041,Marin,2.631818182,3
ingleside / SFSU / CCSF,3078,2,-122.475223,SF,37.720865,1100,6.07503E+13,6075,San Francisco,2.798181818,3
palo alto,3800,2,-122.154515,Peninsula,37.445801,1100,6.08551E+13,6085,Santa Clara,3.454545455,4
foster city,2811,2,-122.268047,Peninsula,37.566674,1100,6.08161E+13,6081,San Mateo,2.555454545,2
pacific heights,7000,3,-122.434558,SF,37.792472,2400,6.07501E+13,6075,San Francisco,2.916666667,3
santa rosa,1875,2,-122.725664,North Bay,38.478182,1100,6.09715E+13,6097,Sonoma,1.704545455,1
mountain view,2895,2,-122.111952,Peninsula,37.406368,1021,6.08551E+13,6085,Santa Clara,2.835455436,3
san rafael,1975,2,-122.525994,North Bay,38.022522,954,6.04111E+13,6041,Marin,2.070230608,1
fremont / union city / newark,1875,2,-121.9712,East Bay,37.5308,1006,6.00144E+13,6001,Alameda,1.863817097,1
daly city,1550,1,-122.484684,Peninsula,37.672433,500,6.0816E+13,6081,San Mateo,3.1,3
mountain view,3700,2,-122.108254,Peninsula,37.406593,1080,6.08551E+13,6085,Santa Clara,3.425925926,4
south san francisco,1915,1,-122.446575,Peninsula,37.663915,750,6.0816E+13,6081,San Mateo,2.553333333,2
atherton,11800,5,-122.186776,Peninsula,37.459738,3630,6.08161E+13,6081,San Mateo,3.250688705,4
foster city,2811,2,-122.2684,Peninsula,37.565287,1100,6.08161E+13,6081,San Mateo,2.555454545,2
los altos,2345,1,-122.118187,Peninsula,37.381616,1000,6.08551E+13,6085,Santa Clara,2.345,2
fremont / union city / newark,2000,3,-121.977918,East Bay,37.542366,1389,6.00144E+13,6001,Alameda,1.439884809,0
sunnyvale,3690,3,-122.00757,South Bay,37.338241,1600,6.08551E+13,6085,Santa Clara,2.30625,2
Redwood City,1800,,-122.296,Peninsula,37.4245,600,6.08161E+13,6081,San Mateo,3,3
san jose north,1937,,-121.920433,South Bay,37.396073,565,6.08551E+13,6085,Santa Clara,3.428318584,4
russian hill,8950,3,-122.417524,SF,37.798434,1577,6.07501E+13,6075,San Francisco,5.675332911,4
