neighborhood,price,bedrooms,longitude,subregion,latitude,sqft,blockfips,countyfips,countyname,price_sqft,price_sqft_cat
fairfield / vacaville,715,1,-122.009926,East Bay,38.264412,650,6.09525E+13,6095,Solano,1.1,0
inner sunset / UCSF,3820,2,-122.462864,SF,37.75954,882,6.07503E+13,6075,San Francisco,4.33106576,4
sunnyvale,2400,2,-122.01443,South Bay,37.351939,930,6.08551E+13,6085,Santa Clara,2.580645161,2
oakland east,1400,1,-122.214854,East Bay,37.767746,1275,6.00141E+13,6001,Alameda,1.098039216,0
san mateo,5000,3,-122.334523,Peninsula,37.549528,1870,6.08161E+13,6081,San Mateo,2.673796791,3
sunnyvale,1944,1,-122.044021,South Bay,37.390653,710,6.08551E+13,6085,Santa Clara,2.738028169,3
palo alto,3550,2,-122.127774,Peninsula,37.452138,1197,6.08551E+13,6085,Santa Clara,2.965747703,3
hayward / castro valley,1745,1,-122.089102,East Bay,37.648098,751,6.00144E+13,6001,Alameda,2.323568575,2
marina / cow hollow,10800,4,-122.441534,SF,37.801931,3000,6.07501E+13,6075,San Francisco,3.6,4
fremont / union city / newark,1999,2,-122.0469,East Bay,37.5735,910,6.00144E+13,6001,Alameda,2.196703297,2
foster city,2238,1,-122.266073,Peninsula,37.554512,687,6.08161E+13,6081,San Mateo,3.257641921,4
morgan hill,1345,1,-121.73206,South Bay,37.108447,650,6.08551E+13,6085,Santa Clara,2.069230769,1
healdsburg / windsor,3000,3,-122.863203,North Bay,38.616393,1446,6.09715E+13,6097,Sonoma,2.074688797,1
milpitas,2380,3,-121.873591,South Bay,37.437896,1500,6.0855E+13,6085,Santa Clara,1.586666667,0
san jose west,1250,,-121.9623,South Bay,37.3108,450,6.08551E+13,6085,Santa Clara,2.777777778,3
san rafael,1700,2,-122.512086,North Bay,37.959723,715,6.04111E+13,6041,Marin,2.377622378,2
albany / el cerrito,1320,2,-122.300813,East Bay,37.909821,800,6.01339E+13,6013,Contra Costa,1.65,1
novato,3300,3,-122.5404,North Bay,38.0618,1300,6.0411E+13,6041,Marin,2.538461538,2
san jose east,2590,3,-121.823083,South Bay,37.357731,1150,6.0855E+13,6085,Santa Clara,2.252173913,2
santa clara,2637,2,-121.952562,South Bay,37.40274,1208,6.08551E+13,6085,Santa Clara,2.18294702,2
inner sunset / UCSF,2795,1,-122.462864,SF,37.75954,650,6.07503E+13,6075,San Francisco,4.3,4
nob hill,4200,2,-122.41056,SF,37.795533,1087,6.07501E+13,6075,San Francisco,3.863845446,4
san jose south,1930,2,-121.830117,South Bay,37.257219,836,6.08551E+13,6085,Santa Clara,2.30861244,2
cupertino,2625,2,-122.069076,South Bay,37.326164,1050,6.08551E+13,6085,Santa Clara,2.5,2
cupertino,2600,2,-122.01416,South Bay,37.313383,950,6.08551E+13,6085,Santa Clara,2.736842105,3
san rafael,1975,2,-122.525994,North Bay,38.022522,954,6.04111E+13,6041,Marin,2.070230608,1
san rafael,1000,1,-122.512986,North Bay,37.975523,600,6.04111E+13,6041,Marin,1.666666667,1
USF / panhandle,3250,2,-122.449517,SF,37.77446,800,6.07502E+13,6075,San Francisco,4.0625,4
san mateo,2227,1,-122.285185,Peninsula,37.544254,680,6.08161E+13,6081,San Mateo,3.275,4
san jose north,2048,1,-121.941032,South Bay,37.413528,683,6.08551E+13,6085,Santa Clara,2.998535871,3
napa county,1015,1,-122.2564,North Bay,38.4549,650,6.0552E+13,6055,Napa,1.561538462,0
san jose west,3200,3,-122.0002,South Bay,37.3066,1200,6.08551E+13,6085,Santa Clara,2.666666667,3
bernal heights,1800,1,-122.414546,SF,37.740347,450,6.07503E+13,6075,San Francisco,4,4
vallejo / benicia,1700,3,-122.242036,East Bay,38.12544,1175,6.09525E+13,6095,Solano,1.446808511,0
fremont / union city / newark,2345,2,-121.971846,East Bay,37.543897,1120,6.00144E+13,6001,Alameda,2.09375,1
san anselmo,1175,,-122.58099,North Bay,37.980923,400,6.04112E+13,6041,Marin,2.9375,3
east palo alto,1595,1,-122.136774,Peninsula,37.454438,664,6.08161E+13,6081,San Mateo,2.402108434,2
palo alto,1895,,-122.16033,Peninsula,37.445741,450,6.08551E+13,6085,Santa Clara,4.211111111,4
,1745,1,-122.286478,East Bay,37.768985,745,6.00143E+13,6001,Alameda,2.342281879,2
SOMA / south beach,3291,1,-122.396669,SF,37.773167,755,6.07506E+13,6075,San Francisco,4.358940397,4
san jose south,1699,1,-121.805013,South Bay,37.311843,701,6.0855E+13,6085,Santa Clara,2.423680456,2
walnut creek,2495,2,-122.06466,East Bay,37.894677,970,6.01334E+13,6013,Contra Costa,2.572164948,2
albany / el cerrito,4000,5,-122.29658,East Bay,37.894181,1971,6.00142E+13,6001,Alameda,2.029426687,1
richmond / point / annex,795,1,-122.344681,East Bay,37.930124,500,6.01338E+13,6013,Contra Costa,1.59,0
castro / upper market,3495,1,-122.440168,SF,37.762187,756,6.07502E+13,6075,San Francisco,4.623015873,4
palo alto,2295,1,-122.153292,Peninsula,37.444898,600,6.08551E+13,6085,Santa Clara,3.825,4
san mateo,2238,2,-122.286827,Peninsula,37.532086,895,6.08161E+13,6081,San Mateo,2.500558659,2
concord / pleasant hill / martinez,1850,3,-122.045195,East Bay,37.988012,1100,6.01333E+13,6013,Contra Costa,1.681818182,1
san mateo,2895,3,-122.318984,Peninsula,37.546695,1155,6.08161E+13,6081,San Mateo,2.506493506,2
palo alto,3395,2,-122.156975,Peninsula,37.450638,1600,6.08551E+13,6085,Santa Clara,2.121875,1
marina / cow hollow,13000,4,-122.442126,SF,37.80485,2900,6.07501E+13,6075,San Francisco,4.482758621,4
san leandro,1495,1,-122.14929,East Bay,37.723282,800,6.00143E+13,6001,Alameda,1.86875,1
fremont / union city / newark,3000,4,-122.082574,East Bay,37.5828,2139,6.00144E+13,6001,Alameda,1.402524544,0
mountain view,1450,1,-122.093594,Peninsula,37.388986,400,6.08551E+13,6085,Santa Clara,3.625,4
Candlestick Point,2395,2,-122.389669,SF,37.711105,1337,6.07506E+13,6075,San Francisco,1.791323859,1
san jose south,2364,2,-121.856789,South Bay,37.247659,1064,6.08551E+13,6085,Santa Clara,2.221804511,2
haight ashbury,2950,1,-122.446774,SF,37.77731,900,6.07502E+13,6075,San Francisco,3.277777778,4
SOMA / south beach,3055,1,-122.3971,SF,37.7621,564,6.07502E+13,6075,San Francisco,5.416666667,4
half moon bay,1800,,-122.462025,Peninsula,37.495393,400,6.08161E+13,6081,San Mateo,4.5,4
daly city,2500,3,-122.471983,Peninsula,37.692233,1100,6.0816E+13,6081,San Mateo,2.272727273,2
SOMA / south beach,6000,2,-122.391858,SF,37.789369,1310,6.07506E+13,6075,San Francisco,4.580152672,4
glen park,850,1,-122.434173,SF,37.708338,200,6.07503E+13,6075,San Francisco,4.25,4
vallejo / benicia,1315,2,-122.244863,East Bay,38.129373,1040,6.09525E+13,6095,Solano,1.264423077,0
foster city,2750,2,-122.287542,Peninsula,37.563188,980,6.08161E+13,6081,San Mateo,2.806122449,3
foster city,2105,1,-122.275858,Peninsula,37.534862,730,6.08161E+13,6081,San Mateo,2.883561644,3
redwood city,2645,2,-122.223662,Peninsula,37.483423,1200,6.08161E+13,6081,San Mateo,2.204166667,2
redwood shores,3190,2,-122.296,Peninsula,37.4245,1580,6.08161E+13,6081,San Mateo,2.018987342,1
santa clara,2600,2,-121.956902,South Bay,37.350341,1150,6.08551E+13,6085,Santa Clara,2.260869565,2
SOMA / south beach,3124,,-122.389927,SF,37.773886,549,6.07506E+13,6075,San Francisco,5.690346084,4
santa rosa,1600,3,-122.7473,North Bay,38.4822,1050,6.09715E+13,6097,Sonoma,1.523809524,0
mountain view,2600,2,-122.091751,Peninsula,37.401443,968,6.08551E+13,6085,Santa Clara,2.685950413,3
sunnyvale,1893,1,-122.044021,South Bay,37.390653,710,6.08551E+13,6085,Santa Clara,2.666197183,3
sunnyvale,1999,1,-122.010469,South Bay,37.352761,700,6.08551E+13,6085,Santa Clara,2.855714286,3
mountain view,2195,1,-122.104579,Peninsula,37.398458,825,6.08551E+13,6085,Santa Clara,2.660606061,3
foster city,2760,2,-122.275965,Peninsula,37.53476,1026,6.08161E+13,6081,San Mateo,2.69005848,3
los gatos,1781,1,-121.974568,South Bay,37.230544,729,6.08551E+13,6085,Santa Clara,2.443072702,2
concord / pleasant hill / martinez,2695,4,-122.080574,East Bay,37.977722,2482,6.01332E+13,6013,Contra Costa,1.085817889,0
sunset / parkside,2400,2,-122.508258,SF,37.763037,700,6.07504E+13,6075,San Francisco,3.428571429,4
atherton,3900,3,-122.184686,Peninsula,37.466073,2500,6.08161E+13,6081,San Mateo,1.56,0
palo alto,3800,2,-122.154708,Peninsula,37.445852,1100,6.08551E+13,6085,Santa Clara,3.454545455,4
fairfax,2200,2,-122.594691,North Bay,37.992023,1100,6.04111E+13,6041,Marin,2,1
palo alto,5300,4,-122.119767,Peninsula,37.431064,1650,6.08551E+13,6085,Santa Clara,3.212121212,3
cupertino,2195,1,-122.036643,South Bay,37.335691,871,6.08551E+13,6085,Santa Clara,2.520091848,2
palo alto,3200,2,-122.162661,Peninsula,37.450295,928,6.08551E+13,6085,Santa Clara,3.448275862,4
danville / san ramon,1925,1,-121.97802,East Bay,37.77993,950,6.01335E+13,6013,Contra Costa,2.026315789,1
walnut creek,1767,1,-122.066444,East Bay,37.901224,726,6.01334E+13,6013,Contra Costa,2.433884298,2
western addition,4500,2,-122.444967,SF,37.776958,1025,6.07502E+13,6075,San Francisco,4.390243902,4
danville / san ramon,2030,2,-121.975374,East Bay,37.771351,976,6.01335E+13,6013,Contra Costa,2.079918033,1
nob hill,2860,1,-122.416257,SF,37.788251,563,6.07501E+13,6075,San Francisco,5.079928952,4
campbell,1150,,-121.935625,South Bay,37.285765,300,6.0855E+13,6085,Santa Clara,3.833333333,4
santa clara,2800,3,-121.970687,South Bay,37.365621,1497,6.08551E+13,6085,Santa Clara,1.870407482,1
redwood city,3350,3,-122.233377,Peninsula,37.474637,1500,6.08161E+13,6081,San Mateo,2.233333333,2
larkspur,2330,1,-122.508172,North Bay,37.949315,781,6.04112E+13,6041,Marin,2.983354673,3
san mateo,2600,2,-122.328508,Peninsula,37.561209,840,6.08161E+13,6081,San Mateo,3.095238095,3
fremont / union city / newark,3000,4,-122.082574,East Bay,37.5828,2139,6.00144E+13,6001,Alameda,1.402524544,0
