lat,lon,date,city,country
49.157873,9.3457177,06/06/2014 16:37,Obersulm,Germany
48.5563514,9.2734723,06/06/2014 18:37,Riederich,Germany
48.6912899,9.1917704,06/12/2014 13:29,Stuttgart,Germany
48.7858451,9.1879941,06/06/2014 17:51,Stuttgart,Germany
48.8263821,9.1708848,06/06/2014 17:06,Stuttgart,Germany
48.5403852,9.1485186,06/12/2014 12:14,Kirchentellinsfurt,Germany
48.528449,9.1404883,06/06/2014 18:51,Kirchentellinsfurt,Germany
48.5264356,9.0893672,06/09/2014 16:13,Tübingen,Germany
48.5219023,9.0551219,06/09/2014 12:12,Tübingen,Germany
48.5744624,9.0664553,06/09/2014 15:57,Tübingen,Germany
48.56106756,9.05980557,06/09/2014 15:33,Tübingen,Germany
48.4726587,8.9351167,06/10/2014 11:18,Rottenburg,Germany
48.417789,8.7342731,06/12/2014 11:29,Horb am Neckar,Germany
48.4800011,8.7286457,06/10/2014 12:03,Eutingen im Gäu,Germany
48.4422417,8.6921915,06/10/2014 11:48,Horb am Neckar,Germany
48.2359384,8.6481763,06/12/2014 11:14,Dietingen,Germany
48.0574273,8.5593472,06/12/2014 10:59,Villingen-Schwenningen,Germany
48.4543662,8.5463394,06/10/2014 12:33,Schopfloch,Germany
48.4458391,8.4314088,06/10/2014 12:48,Freudenstadt,Germany
48.3431884,8.3979525,06/10/2014 13:03,Alpirsbach,Germany
48.2906436,8.2701902,06/10/2014 13:18,Wolfach,Germany
47.9055478,8.223163,06/12/2014 09:59,Titisee-Neustadt,Germany
48.2829401,8.1996304,06/10/2014 13:33,Gutach,Germany
48.3890293,8.0213421,06/10/2014 13:48,Gengenbach,Germany
48.4752249,7.9468866,06/10/2014 14:03,Offenburg,Germany
47.9760664,7.9194239,06/12/2014 09:31,Kirchzarten,Germany
47.9885517,7.8644098,06/10/2014 16:03,Freiburg,Germany
48.3808755,7.8632248,06/10/2014 14:18,Friesenheim,Germany
48.2334509,7.7536459,06/10/2014 14:33,Freiburg,Germany
41.3814424,2.1599304,06/18/2014 13:21,Barcelona,Spain
41.4087045,2.1521359,06/16/2014 18:37,Barcelona,Spain
41.396434,2.1253708,06/12/2014 21:39,Barcelona,Spain
41.3870767,2.1122316,05/20/2014 15:03,Barcelona,Spain
41.3039111,2.1059314,05/18/2014 22:35,El Prat de Llobregat,Spain
41.3201247,2.090935,05/18/2014 23:34,El Prat de Llobregat,Spain
41.3043329,2.0727284,06/12/2014 17:49,El Prat de Llobregat,Spain
51.4781991,-0.446081,05/14/2014 10:51,Hounslow,United Kingdom
40.2108693,-8.4813831,05/17/2014 12:58,Coimbra Municipality,Portugal
40.6091112,-8.5448192,05/17/2014 13:28,Aveiro District,Portugal
40.8665418,-8.5589924,05/17/2014 13:42,Aveiro District,Portugal
41.0621474,-8.5758203,05/17/2014 13:58,Vila Nova de Gaia,Portugal
40.0204289,-8.5944898,05/17/2014 12:43,Leiria District,Portugal
41.144387,-8.6118955,05/18/2014 16:58,Porto,Portugal
41.1615277,-8.6308978,05/18/2014 18:40,Porto,Portugal
39.476522,-8.6343453,05/17/2014 11:42,Zibreira,Portugal
41.2364461,-8.6711649,05/18/2014 19:25,Matosinhos,Portugal
39.6307531,-8.6811772,05/17/2014 11:58,Ourém Municipality,Portugal
39.6287723,-8.695136,05/17/2014 12:12,São Mamede,Portugal
39.2728757,-8.7121869,05/17/2014 11:27,Santarém,Portugal
39.8410858,-8.718608,05/17/2014 12:28,Leiria District,Portugal
39.1183833,-8.9137378,05/17/2014 11:12,Azambuja,Portugal
38.7127963,-9.1360143,05/14/2014 21:10,Lisbon,Portugal
38.771939,-9.1289106,05/14/2014 15:41,Lisbon,Portugal
38.7817746,-9.1375444,05/14/2014 15:11,Lisbon,Portugal
38.7429871,-9.1477802,05/14/2014 16:11,Lisbon,Portugal
38.741758,-9.1657132,05/17/2014 09:54,Lisbon,Portugal
38.7309823,-9.1690712,05/16/2014 10:28,Lisbon,Portugal
38.7025124,-9.1805038,05/15/2014 15:50,Lisbon,Portugal
38.6937796,-9.2063634,05/15/2014 14:19,Lisbon,Portugal
38.7472838,-9.2138388,05/16/2014 17:28,Damaia,Portugal
38.7616021,-9.2450257,05/16/2014 10:43,Amadora,Portugal
38.793071,-9.2858255,05/16/2014 15:13,Sintra,Portugal
38.7686867,-9.2999259,05/16/2014 17:13,Lisbon,Portugal
38.7975582,-9.3409997,05/16/2014 10:58,Algueirão-Mem Martins,Portugal
38.8054581,-9.3619194,05/16/2014 15:58,Lisbon,Portugal
38.8014593,-9.3717872,05/16/2014 15:43,Sintra,Portugal
38.797314,-9.3879207,05/16/2014 16:58,Sintra,Portugal
38.8166107,-9.4084998,05/16/2014 16:13,Sintra,Portugal
38.8011712,-9.4251031,05/16/2014 13:43,Sintra,Portugal
