lat,lon,date,city,country
48.4752249,7.946886599999999,06/10/2014 14:03,Offenburg,Germany
48.4800011,8.7286457,06/10/2014 12:03,Eutingen im Gäu,Germany
48.5219023,9.0551219,06/09/2014 12:12,Tübingen,Germany
48.526435600000006,9.0893672,06/09/2014 16:13,Tübingen,Germany
48.5403852,9.148518600000001,06/12/2014 12:14,Kirchentellinsfurt,Germany
48.5563514,9.273472300000002,06/06/2014 18:37,Riederich,Germany
48.561180900000004,9.059672099999998,06/09/2014 15:12,Tübingen,Germany
48.5744624,9.066455300000001,06/09/2014 15:57,Tübingen,Germany
48.6912899,9.1917704,06/12/2014 13:29,Stuttgart,Germany
48.6936721,9.4128045,06/06/2014 18:21,Wernau,Germany
48.7858451,9.1879941,06/06/2014 17:51,Stuttgart,Germany
48.8263821,9.170884800000001,06/06/2014 17:06,Stuttgart,Germany
49.157872999999995,9.3457177,06/06/2014 16:37,Obersulm,Germany
49.16301872,9.37027094,06/06/2014 16:30,Ellhofen,Germany
49.260220399999994,10.547922900000001,06/06/2014 15:37,Ansbach,Germany
49.309917799999994,10.989308900000001,06/06/2014 15:21,Kammerstein,Germany
49.3986061,11.8477583,06/06/2014 14:52,Kümmersbruck,Germany
49.4080691,11.2899446,06/06/2014 15:06,Winkelhaid,Germany
49.450555,17.4190687,06/02/2014 09:40,Prerov,Czech Republic
49.559495,17.7181638,06/02/2014 09:25,Hranice,Czech Republic
49.66003641,12.55782719,06/06/2014 14:25,Rozvadov,Czech Republic
49.6636426,17.926755800000002,06/02/2014 09:09,Suchdol nad Odrou,Czech Republic
49.698620299999995,13.423219699999999,06/06/2014 13:51,Plzen,Czech Republic
49.708167100000004,13.045332,06/06/2014 14:21,Kostelec,Czech Republic
49.71359644,13.14887376,06/06/2014 14:07,Blatnice,Czech Republic
49.7863143,13.718423399999999,06/06/2014 13:36,Mýto,Czech Republic
49.8213494,18.2090604,06/02/2014 08:24,Ostrava,Czech Republic
49.9005024,18.3465247,06/02/2014 08:10,Novy Bohumin,Czech Republic
49.94887070000001,15.2801565,06/04/2014 18:27,Kutna Hora,Czech Republic
49.966878799999996,16.4022121,06/02/2014 10:55,Ústí nad Orlicí,Czech Republic
49.9711561,14.1036316,06/06/2014 13:22,Beroun,Czech Republic
49.9931846,20.0434783,06/01/2014 07:40,Wieliczka,Poland
50.0280826,15.2108136,06/04/2014 19:12,Kolin,Czech Republic
50.027998600000004,19.2016098,05/31/2014 08:24,Oswiecim,Poland
50.0340482,19.6125103,05/31/2014 13:25,Chrzanów County,Poland
50.0357467,19.8359321,05/31/2014 13:40,Krakow,Poland
50.0418467,15.3950116,06/02/2014 11:40,Kojice,Czech Republic
50.06162,19.938063699999997,05/31/2014 14:09,Krakow,Poland
50.0514717,19.213068,05/31/2014 12:55,"Babice, O?wi?cim County",Poland
50.0524104,14.2921832,06/06/2014 13:07,Prague,Czech Republic
50.0774726,14.4395288,06/05/2014 10:37,Prague,Czech Republic
50.071361100000004,14.8375136,06/04/2014 19:42,?eský Brod,Czech Republic
50.077506400000004,19.8091708,06/02/2014 05:40,Krakow,Poland
50.072535200000004,19.4339893,05/31/2014 13:10,"Wygie?zów, Lesser Poland Voivodeship",Poland
50.076828799999994,14.710014600000001,06/04/2014 11:12,Úvaly,Czech Republic
50.085035999999995,14.570334299999999,06/04/2014 19:56,Prague,Czech Republic
50.087729100000004,14.660600099999998,06/02/2014 12:10,Prague,Czech Republic
50.089150399999994,19.9089234,06/02/2014 05:10,Krakow,Poland
50.1015078,14.4977957,06/04/2014 10:57,Prague,Czech Republic
50.10882539999999,14.9214424,06/04/2014 11:27,Po?í?any,Czech Republic
50.1212466,14.995289999999999,06/02/2014 11:55,Sadská,Czech Republic
50.145956899999995,19.4649668,06/02/2014 05:54,Trzebinia,Poland
50.1543968,19.244136100000002,06/02/2014 06:10,Imielin,Poland
50.254720899999995,18.8870225,06/02/2014 06:25,Ruda Slaska,Poland
50.2736325,18.7294285,06/02/2014 06:39,Gliwice,Poland
50.3063515,19.475674800000004,05/30/2014 17:25,Olkusz County,Poland
50.3284979,19.2424844,05/30/2014 17:10,Dabrowa Gornicza,Poland
50.373689500000005,18.8892047,06/02/2014 07:25,Bytom,Poland
50.4492979,19.0605598,05/30/2014 16:39,Tarnowskie Góry County,Poland
50.4622715,19.0815141,06/02/2014 07:10,Tarnowskie Góry County,Poland
50.4893042,19.0983815,05/30/2014 16:10,Zendek,Poland
51.478199100000005,-0.44608100000000006,05/14/2014 10:51,Hounslow,United Kingdom
