rent,bedrooms,sqft,latitude,longitude,date
2100.0,1.0,,37.761919,-122.47808,2014-05-16
3800.0,2.0,,37.789955,-122.410399,2014-05-29
800.0,1.0,675.0,38.271914,-122.045424,2014-07-10
2600.0,4.0,1600.0,37.532737,-122.023972,2014-07-05
2600.0,2.0,1100.0,37.560466,-122.05063799999999,2014-05-13
2368.0,2.0,1160.0,37.757144,-121.90854499999999,2014-05-30
3750.0,1.0,,37.769603000000004,-122.426309,2014-06-18
3050.0,,,37.7917,-122.4186,2014-06-16
1350.0,,386.0,37.3483,-121.9844,2014-06-11
3900.0,2.0,1350.0,37.887386,-122.28770300000001,2014-06-19
5250.0,2.0,1000.0,37.79522,-122.427499,2014-05-14
2499.0,2.0,1016.0,37.243916,-121.871879,2014-07-10
2299.0,2.0,1742.0,38.480789,-122.726941,2014-06-25
2300.0,3.0,2465.0,38.160662,-122.24034499999999,2014-06-14
2790.0,2.0,1000.0,37.560735,-122.269778,2014-06-25
1575.0,2.0,888.0,38.468459,-122.75968600000002,2014-06-19
1745.0,1.0,630.0,37.406079,-122.11378799999999,2014-05-31
1595.0,1.0,,37.80093400000001,-122.25051599999999,2014-05-28
3697.0,1.0,1101.0,37.764021,-122.39373,2014-05-28
1675.0,2.0,950.0,37.697201,-122.11496799999999,2014-06-20
5500.0,3.0,1200.0,37.448645,-122.140524,2014-06-29
3058.0,2.0,1043.0,37.403437,-122.009525,2014-06-29
3000.0,4.0,1365.0,37.253043,-121.851463,2014-05-18
2100.0,2.0,1005.0,37.714754,-121.913395,2014-06-25
1249.0,2.0,,38.011072999999996,-121.82824699999999,2014-05-20
2695.0,,,37.802986,-122.42814299999999,2014-05-20
3760.0,3.0,1381.0,37.560763,-122.325998,2014-06-07
1147.0,1.0,,37.119822,-121.638478,2014-05-21
1095.0,,1.0,37.797027,-122.248851,2014-06-09
3200.0,2.0,1415.0,37.8071,-122.2851,2014-05-30
1995.0,1.0,600.0,37.281655,-121.935767,2014-06-28
2500.0,3.0,1500.0,36.936721,-121.861897,2014-05-17
12000.0,2.0,,37.79868,-122.415572,2014-06-16
3055.0,3.0,1366.0,37.276838,-121.854175,2014-07-05
1717.0,1.0,685.0,37.5368,-122.032,2014-06-12
1995.0,2.0,850.0,37.272021,-121.96137900000001,2014-05-30
1795.0,2.0,,37.293742,-121.972968,2014-06-21
1995.0,,,37.790151,-122.40885300000001,2014-06-14
1895.0,2.0,,37.01586,-121.591429,2014-05-22
1100.0,1.0,,37.121608,-122.113853,2014-06-12
2422.0,1.0,804.0,37.39574,-121.956769,2014-05-22
2850.0,3.0,1300.0,37.074628000000004,-122.05518700000002,2014-05-27
1630.0,1.0,,38.181529,-122.253413,2014-06-29
1495.0,1.0,700.0,37.818582,-122.250731,2014-07-09
1700.0,2.0,,37.85439,-122.278497,2014-06-27
2917.0,2.0,1100.0,37.398784,-121.921334,2014-07-12
2347.0,2.0,910.0,37.5395,-122.2998,2014-05-19
1645.0,1.0,650.0,37.381383,-122.054786,2014-07-04
1495.0,1.0,569.0,37.9265,-122.3342,2014-05-15
1450.0,,,37.792007,-122.408327,2014-06-15
2546.0,2.0,1142.0,37.288940999999994,-121.877346,2014-05-29
2915.0,2.0,991.0,37.409028,-121.93794299999999,2014-06-08
2450.0,2.0,940.0,37.4601,-121.903543,2014-06-27
2568.0,2.0,1050.0,37.4087,-121.9406,2014-06-19
1650.0,4.0,,38.146914,-122.22845,2014-05-30
2345.0,2.0,1120.0,37.539286,-121.974354,2014-07-12
1695.0,2.0,903.0,37.2458,-121.8306,2014-05-13
2000.0,1.0,460.0,37.791659,-122.40823,2014-05-28
2925.0,1.0,758.0,37.4815,-122.2091,2014-05-17
1995.0,2.0,1000.0,37.260289,-121.946201,2014-06-14
4565.0,2.0,950.0,37.776668,-122.417994,2014-06-17
2300.0,2.0,1200.0,37.294154999999996,-121.81626599999998,2014-06-14
2150.0,2.0,1710.0,37.756528,-122.149476,2014-06-17
1275.0,1.0,540.0,37.943323,-122.062666,2014-05-22
1850.0,4.0,2135.0,38.028301,-121.913652,2014-06-23
1600.0,4.0,1840.0,39.046069,-122.92673300000001,2014-06-24
3895.0,2.0,1165.0,37.423854999999996,-122.19949,2014-06-16
1675.0,1.0,700.0,38.06503,-122.539846,2014-06-25
2248.0,2.0,864.0,37.92706,-122.31983600000001,2014-07-02
3650.0,2.0,1041.0,37.776742,-122.44666000000001,2014-07-08
6000.0,4.0,,37.880171999999995,-122.46193899999999,2014-06-08
1200.0,3.0,1100.0,37.7383,-121.4345,2014-05-28
2999.0,1.0,700.0,37.80047800000001,-122.408915,2014-06-23
2435.0,2.0,988.0,37.721884,-121.91340500000001,2014-06-08
1775.0,2.0,822.0,37.253503,-121.90226799999999,2014-07-13
1375.0,2.0,,37.330597999999995,-121.877808,2014-05-15
2760.0,1.0,869.0,37.366541,-122.00200600000001,2014-06-01
1249.0,2.0,,38.011072999999996,-121.82824699999999,2014-05-26
4250.0,3.0,1410.0,37.827606,-122.23295900000001,2014-05-17
1812.0,1.0,620.0,37.5368,-122.032,2014-06-19
6200.0,3.0,1750.0,37.786466,-122.46936799999999,2014-06-19
2161.0,4.0,,36.9294,-121.7727,2014-06-27
2095.0,,,37.405332,-122.07846299999999,2014-05-20
4000.0,2.0,1160.0,37.772449,-122.418425,2014-06-20
2778.0,2.0,1050.0,37.894979,-122.1029,2014-05-31
1699.0,1.0,750.0,37.898053999999995,-122.29856000000001,2014-07-06
2100.0,,,37.596737,-122.49678600000001,2014-05-21
1495.0,,436.0,37.765828000000006,-121.948753,2014-05-30
3300.0,2.0,850.0,37.871525,-122.27338,2014-06-16
2293.0,1.0,825.0,37.402584000000004,-121.92568500000002,2014-07-05
2398.0,2.0,1030.0,37.257589,-121.86246899999999,2014-06-09
1395.0,1.0,509.0,37.937937,-122.02443400000001,2014-07-05
4200.0,2.0,1629.0,37.445716,-122.158491,2014-05-30
2350.0,2.0,950.0,37.758922,-122.263314,2014-07-02
1495.0,1.0,700.0,37.773317,-122.257058,2014-05-19
3850.0,3.0,1425.0,37.338840999999995,-121.982231,2014-06-21
1750.0,2.0,794.0,38.249266,-122.61924599999999,2014-05-20
2800.0,5.0,5386.0,37.975868,-121.34931599999999,2014-07-02
1300.0,3.0,1100.0,38.147374,-122.237927,2014-06-28
2695.0,1.0,520.0,37.425304,-122.13179099999999,2014-07-06
3155.0,2.0,1077.0,37.3476,-121.887,2014-06-18
3525.0,2.0,1045.0,37.549960999999996,-122.30594199999999,2014-06-25
2295.0,1.0,600.0,37.580434999999994,-122.347981,2014-06-14
980.0,1.0,,37.753582,-122.48180900000001,2014-07-04
4600.0,2.0,789.0,37.762682,-122.42526799999999,2014-06-23
4190.0,2.0,1083.0,37.75954,-122.462864,2014-05-17
1895.0,3.0,1434.0,37.982622,-121.830547,2014-06-25
2045.0,1.0,630.0,37.321248,-121.98125,2014-06-14
2395.0,2.0,,37.395807,-122.099506,2014-06-27
2600.0,3.0,1400.0,37.272995,-121.825607,2014-06-07
1756.0,,,37.668316,-121.885465,2014-07-08
1700.0,1.0,400.0,37.289811,-121.947255,2014-06-23
900.0,2.0,,38.272319,-122.023923,2014-06-20
1995.0,4.0,1864.0,38.014592,-121.962597,2014-07-09
3160.0,2.0,1043.0,37.534896,-122.276223,2014-06-27
2980.0,1.0,,37.7911,-122.407801,2014-06-24
3875.0,3.0,1700.0,37.416185999999996,-122.09681499999999,2014-06-13
2100.0,1.0,,37.76487,-122.477267,2014-05-22
1495.0,1.0,650.0,37.683442,-121.876521,2014-06-24
3080.0,1.0,,37.796771,-122.3982,2014-06-20
8995.0,3.0,2500.0,37.77749,-122.433219,2014-05-16
2684.0,2.0,1264.0,37.316841,-121.91096599999999,2014-05-24
3750.0,,,37.865626,-122.503584,2014-07-10
3350.0,2.0,,37.58028,-122.34138999999999,2014-05-13
3158.0,2.0,1100.0,37.566419,-122.268198,2014-05-20
800.0,,,37.537987,-121.97323899999999,2014-07-02
6700.0,4.0,2000.0,37.362773,-122.09409,2014-05-31
2895.0,1.0,,37.76723,-122.446289,2014-05-13
2200.0,1.0,550.0,37.862403,-122.273197,2014-07-02
4500.0,2.0,1938.0,37.914308,-122.558219,2014-05-13
4400.0,2.0,1000.0,37.750663,-122.44209099999999,2014-07-04
7000.0,2.0,1310.0,37.774514,-122.391429,2014-06-17
1050.0,,,37.808009999999996,-122.275622,2014-05-19
2400.0,2.0,,37.567066,-122.31607,2014-06-28
2400.0,2.0,,37.899499,-122.05283700000001,2014-06-11
8900.0,3.0,2100.0,37.755363,-122.43561000000001,2014-06-19
2100.0,1.0,800.0,37.462540999999995,-122.163725,2014-06-11
1785.0,1.0,620.0,37.39024000000001,-121.99266999999999,2014-05-15
1920.0,1.0,657.0,37.702129,-121.93616899999999,2014-05-23
2695.0,2.0,1000.0,37.301497999999995,-122.030475,2014-05-29
1950.0,1.0,687.0,37.70939,-121.88771000000001,2014-06-20
2200.0,3.0,,37.708813,-122.459278,2014-07-09
1600.0,3.0,948.0,37.963646000000004,-122.32815,2014-05-17
4950.0,3.0,3261.0,37.8471,-122.2223,2014-05-26
2045.0,1.0,890.0,37.7636,-121.9155,2014-06-02
15000.0,5.0,6249.0,37.8471,-122.2223,2014-06-29
2765.0,1.0,747.0,37.48682700000001,-122.23232,2014-05-20
4725.0,2.0,1050.0,37.774955,-122.394347,2014-06-14
2010.0,2.0,978.0,37.954,-122.0737,2014-05-19
4800.0,3.0,1147.0,37.424439,-122.121774,2014-06-27
1750.0,2.0,,38.223811,-122.642301,2014-06-24
2545.0,1.0,,37.774039,-122.41338,2014-05-25
4295.0,2.0,1200.0,37.761052,-122.442306,2014-05-20
3680.0,4.0,1837.0,37.3518,-121.8508,2014-06-20
2135.0,2.0,1245.0,37.735715,-122.142198,2014-05-27
1445.0,,600.0,37.907925,-122.05488700000001,2014-07-08
2431.0,,,37.548831,-122.286201,2014-05-25
2000.0,,532.0,37.401468,-121.925197,2014-06-21
4595.0,3.0,1500.0,37.4443,-122.1497,2014-06-20
1548.0,1.0,618.0,37.67673900000001,-121.754673,2014-07-12
1658.0,,458.0,37.66738,-122.08715900000001,2014-06-16
2000.0,,,37.375836,-122.073276,2014-06-13
2045.0,1.0,630.0,37.321248,-121.98125,2014-06-08
1412.0,2.0,932.0,38.249261,-122.065198,2014-06-20
1965.0,2.0,900.0,37.23673,-121.795961,2014-06-19
4200.0,3.0,1780.0,37.595115,-122.416738,2014-06-10
1750.0,1.0,650.0,37.277417,-121.952354,2014-05-16
3100.0,2.0,1185.0,37.8365,-122.2804,2014-05-28
3299.0,3.0,1423.0,37.413477,-121.90425400000001,2014-05-18
18000.0,5.0,5800.0,37.961323,-122.55898799999999,2014-05-16
1889.0,1.0,873.0,37.659316,-122.094752,2014-06-23
1195.0,1.0,550.0,37.324127000000004,-121.88593700000001,2014-07-03
